config_id,design_label,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,edge_ai_enabled,edge_ai_threshold,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,security_coverage,security_overhead_bytes_per_packet,edge_ai_saving_ratio,edge_event_recall,edge_ai_cpu_energy_j,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
sweep_050,Automatic sweep 050,42069,35,aloha,2,40.0,0.0,False,True,2.5,0.6901999998229533,0.032123522993258456,0.0001508497056229979,34701,0.42624007936507935,800385.7209060321,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,420,False,10,47,177
sweep_051,Automatic sweep 051,42069,35,aloha,2,40.0,0.0,True,False,2.5,0.6901999998229533,0.03463311194714616,0.0003734442709075671,85713,-0.4172123015873015,323309.1515639031,1.0,12.0,0.0,1.0,0.0,3,0.9995594479432075,420,False,0,77,197
sweep_052,Automatic sweep 052,42069,35,aloha,2,40.0,0.0,True,True,2.5,0.6901999998229533,0.03357451401803184,0.0001838459975509884,42137,0.30329034391534393,656734.1796496826,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,420,False,16,35,104
sweep_053,Automatic sweep 053,42069,35,aloha,2,40.0,0.35,False,False,2.5,0.720694290724222,0.028017604207589534,0.00029336063300969837,37310,0.38310185185185186,745696.5850079193,0.0,0.0,0.0,1.0,0.0,3,0.9995594479432075,222,False,2,82,195
sweep_054,Automatic sweep 054,42069,35,aloha,2,40.0,0.35,False,True,2.5,0.720694290724222,0.027228072209258453,0.00014468860451554366,18342,0.6967261904761906,1511922.953044949,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,222,False,16,21,146
sweep_055,Automatic sweep 055,42069,35,aloha,2,40.0,0.35,True,False,2.5,0.720694290724222,0.029530111947146165,0.00035764735300787434,45306,0.25089285714285714,611658.4405596793,1.0,12.0,0.0,1.0,0.0,3,0.9995594479432075,222,False,2,50,152
sweep_056,Automatic sweep 056,42069,35,aloha,2,40.0,0.35,True,True,2.5,0.720694290724222,0.028679063234031837,0.00017629195606664694,22272,0.6317460317460317,1240884.8769503264,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,222,False,28,18,63
sweep_057,Automatic sweep 057,42069,35,aloha,2,40.0,0.45,False,False,2.5,0.7294069452674415,0.026559604207589533,0.0002898522474950165,27730,0.5415013227513228,1003315.5278270995,0.0,0.0,0.0,1.0,0.0,3,0.9995594479432075,165,False,4,61,187
sweep_058,Automatic sweep 058,42069,35,aloha,2,40.0,0.45,False,True,2.5,0.7294069452674415,0.02582937198525845,0.00014311952151163472,13632,0.7746031746031746,2031960.822784698,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,165,False,21,14,128
sweep_059,Automatic sweep 059,42069,35,aloha,2,40.0,0.45,True,False,2.5,0.7294069452674415,0.028072111947146164,0.0003533713392273813,33673,0.44323743386243386,822967.8765775794,1.0,12.0,0.0,1.0,0.0,3,0.9995594479432075,165,False,4,38,126
sweep_060,Automatic sweep 060,42069,35,aloha,2,40.0,0.45,True,True,2.5,0.7294069452674415,0.02728036301003184,0.00017434550700726528,16554,0.7262896825396825,1668028.420573034,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,3,0.9995594479432075,165,False,36,12,56
sweep_061,Automatic sweep 061,42069,35,aloha,2,55.0,0.0,False,False,2.5,0.7699999980504864,0.022092635124315762,0.0003159316025314887,47084,-0.16775793650793647,342558.6665972414,0.0,0.0,0.0,1.0,0.0,2,0.9989182293741451,420,False,0,54,185
sweep_062,Automatic sweep 062,42069,35,aloha,2,55.0,0.0,False,True,2.5,0.7699999980504864,0.02154408346853959,0.00015554574203883792,23146,0.4259424603174603,695776.734744008,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,420,False,23,22,115
sweep_063,Automatic sweep 063,42069,35,aloha,2,55.0,0.0,True,False,2.5,0.7699999980504864,0.02310146682289128,0.0003845257430885839,57175,-0.41803075396825395,281450.8792827023,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,420,False,0,34,136
sweep_064,Automatic sweep 064,42069,35,aloha,2,55.0,0.0,True,True,2.5,0.7699999980504864,0.022511883964270646,0.00018926662153670592,28107,0.3029017857142857,571812.9674445925,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,420,False,41,16,44
sweep_065,Automatic sweep 065,42069,35,aloha,2,55.0,0.35,False,False,2.5,0.8040199979643534,0.01869063512431576,0.00030256065823701703,24887,0.38276289682539677,648090.6601062608,0.0,0.0,0.0,1.0,0.0,2,0.9989182293741451,222,False,4,35,150
sweep_066,Automatic sweep 066,42069,35,aloha,2,55.0,0.35,False,True,2.5,0.8040199979643534,0.01828044961253959,0.00014916236694063062,12234,0.696577380952381,1314585.848567684,0.0,0.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,222,False,36,10,89
sweep_067,Automatic sweep 067,42069,35,aloha,2,55.0,0.35,True,False,2.5,0.8040199979643534,0.01969946682289128,0.0003682546732310863,30221,0.2504712301587302,532475.895006403,1.0,12.0,0.0,1.0,0.0,2,0.9989182293741451,222,False,4,24,82
sweep_068,Automatic sweep 068,42069,35,aloha,2,55.0,0.35,True,True,2.5,0.8040199979643534,0.019248250108270647,0.00018145754471171507,14857,0.6315228174603175,1080620.467065945,1.0,12.0,0.8200000000000001,0.8625,7.56e-05,2,0.9989182293741451,222,False,66,10,29
sweep_069,Automatic sweep 069,42069,35,aloha,2,55.0,0.45,False,False,2.5,0.8137399979397439,0.01771863512431576,0.00029894508857064816,18497,0.5412450396825397,871980.9838387043,0.0,0.0,0.0,1.0,0.0,2,0.9989182293741451,165,False,6,18,140
