config_id,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
cfg_109,2026,35,csma,0,25.0,0.0,False,0.7368916049620238,0.036143999999999996,0.00016519118847374212,80640,0.0,684586.4002804066,4,0.9998830703536867,420,False,14,6,213
cfg_110,2026,35,csma,0,25.0,0.0,True,0.7368916049620238,0.03816,0.0002081174476236617,100800,-0.25,543383.7593462006,4,0.9998830703536867,420,False,6,30,255
cfg_111,2026,35,csma,0,25.0,0.35,False,0.7461577197607095,0.03274200000000001,0.0001631397716276899,42624,0.4714285714285714,1295163.4599899584,4,0.9998830703536867,222,False,50,2,135
cfg_112,2026,35,csma,0,25.0,0.35,True,0.7461577197607095,0.034758000000000004,0.0002055329536082292,53280,0.3392857142857143,1028023.3284928121,4,0.9998830703536867,222,False,22,16,189
cfg_113,2026,35,csma,0,40.0,0.0,False,0.8325169105143067,0.027107999999999997,0.00021759557999619387,60480,0.0,460018.84237178357,3,0.9995594479432075,420,False,36,8,133
cfg_114,2026,35,csma,0,40.0,0.0,True,0.8325169105143067,0.02862,0.0002730755341168451,75600,-0.25,366558.16544969345,3,0.9995594479432075,420,False,10,60,197
cfg_115,2026,35,csma,0,40.0,0.35,False,0.8429854749717214,0.024556500000000005,0.00021489338236352993,31968,0.4714285714285714,870305.9180006715,3,0.9995594479432075,222,False,84,2,73
cfg_116,2026,35,csma,0,40.0,0.35,True,0.8429854749717214,0.0260685,0.0002696843620082853,39960,0.3392857142857143,693488.4211210418,3,0.9995594479432075,222,False,30,36,125
cfg_117,2026,35,csma,0,55.0,0.0,False,0.9279889949476587,0.018071999999999998,0.00022448542076918687,40320,0.0,400025.6016385048,2,0.9989182293741451,420,False,98,6,47
cfg_118,2026,35,csma,0,55.0,0.0,True,0.9279889949476587,0.01908,0.00028125333535309997,50400,-0.25,319284.8020434227,2,0.9989182293741451,420,False,24,30,85
cfg_119,2026,35,csma,0,55.0,0.35,False,0.9396580823700147,0.016371000000000004,0.00022169766206296367,21312,0.4714285714285714,756805.1922890632,2,0.9989182293741451,222,False,172,2,29
cfg_120,2026,35,csma,0,55.0,0.35,True,0.9396580823700147,0.017379000000000002,0.00027776060771137444,26640,0.3392857142857143,604052.3281902592,2,0.9989182293741451,222,False,68,16,49
cfg_121,2026,35,csma,2,25.0,0.0,False,0.737236363631649,0.03614846024843307,0.00019265135677063404,94089,-0.1667782738095238,586732.2143780037,4,0.9998830703536867,420,False,14,18,233
cfg_122,2026,35,csma,2,25.0,0.0,True,0.737236363631649,0.038164639873370834,0.0002357809051720993,114252,-0.4168154761904761,479405.9004839918,4,0.9998830703536867,420,False,4,56,267
cfg_123,2026,35,csma,2,25.0,0.35,False,0.7465068136315898,0.03274646024843308,0.00019025985655553968,49733,0.38327132936507935,1110028.498554521,4,0.9998830703536867,222,False,48,8,161
cfg_124,2026,35,csma,2,25.0,0.35,True,0.7465068136315898,0.034762639873370846,0.0002328515521842982,60390,0.2511160714285714,906989.2853468623,4,0.9998830703536867,222,False,14,38,215
cfg_125,2026,35,csma,2,40.0,0.0,False,0.8336181816043461,0.027120604207589532,0.0002536231527744178,70587,-0.16711309523809526,394151.0417873754,3,0.9995594479432075,420,False,18,34,179
cfg_126,2026,35,csma,2,40.0,0.0,True,0.8336181816043461,0.028633111947146163,0.0003091957941922868,85713,-0.4172123015873015,323309.1515639031,3,0.9995594479432075,420,False,4,90,229
cfg_127,2026,35,csma,2,40.0,0.35,False,0.8441005941016572,0.024569104207589537,0.0002504717267239254,37310,0.38310185185185186,745696.5850079193,3,0.9995594479432075,222,False,50,16,101
cfg_128,2026,35,csma,2,40.0,0.35,True,0.8441005941016572,0.026081611947146165,0.00030535981991544885,45306,0.25089285714285714,611658.4405596793,3,0.9995594479432075,222,False,18,58,153
cfg_129,2026,35,csma,2,55.0,0.0,False,0.9299999976453927,0.01809263512431576,0.00026157777844004976,47084,-0.16775793650793647,342558.6665972414,2,0.9989182293741451,420,False,48,18,65
cfg_130,2026,35,csma,2,55.0,0.0,True,0.9299999976453927,0.01910146682289128,0.00031837077653570927,57175,-0.41803075396825395,281450.8792827023,2,0.9989182293741451,420,False,10,40,117
cfg_131,2026,35,csma,2,55.0,0.35,False,0.9416943726157844,0.016391635124315764,0.0002583267213799875,24887,0.38276289682539677,648090.6601062609,2,0.9989182293741451,222,False,106,8,37
cfg_132,2026,35,csma,2,55.0,0.35,True,0.9416943726157844,0.017400466822891283,0.0003144163650454619,30221,0.2504712301587302,532475.895006403,2,0.9989182293741451,222,False,34,24,69
cfg_133,2026,35,csma,4,25.0,0.0,False,0.7372363636363636,0.03615220199712492,0.00019265135676940204,94089,-0.1667782738095238,586732.2143780037,4,0.9998830703536867,420,False,16,18,235
cfg_134,2026,35,csma,4,25.0,0.0,True,0.7372363636363636,0.03816838162206514,0.00023578090517059147,114252,-0.4168154761904761,479405.9004839918,4,0.9998830703536867,420,False,4,54,269
cfg_135,2026,35,csma,4,25.0,0.35,False,0.7465068136363636,0.032750201997124924,0.000190259856554323,49733,0.38327132936507935,1110028.498554521,4,0.9998830703536867,222,False,50,8,163
cfg_136,2026,35,csma,4,25.0,0.35,True,0.7465068136363636,0.03476638162206514,0.00023285155218280912,60390,0.2511160714285714,906989.2853468623,4,0.9998830703536867,222,False,14,36,217
cfg_137,2026,35,csma,4,40.0,0.0,False,0.8336181818181818,0.02713117745734674,0.0002536231527093596,70587,-0.16711309523809526,394151.0417873754,3,0.9995594479432075,420,False,20,34,181
cfg_138,2026,35,csma,4,40.0,0.0,True,0.8336181818181818,0.02864368519700191,0.0003091957941129734,85713,-0.4172123015873015,323309.1515639031,3,0.9995594479432075,420,False,4,88,231
cfg_139,2026,35,csma,4,40.0,0.35,False,0.8441005943181817,0.024579677457346745,0.0002504717266596756,37310,0.38310185185185186,745696.5850079193,3,0.9995594479432075,222,False,52,16,103
cfg_140,2026,35,csma,4,40.0,0.35,True,0.8441005943181817,0.026092185197001915,0.00030535981983711947,45306,0.25089285714285714,611658.4405596793,3,0.9995594479432075,222,False,18,56,155
cfg_141,2026,35,csma,4,55.0,0.0,False,0.9299999999999973,0.018109943458222543,0.0002615777777777786,47084,-0.16775793650793647,342558.6665972414,2,0.9989182293741451,420,False,50,18,67
cfg_142,2026,35,csma,4,55.0,0.0,True,0.9299999999999973,0.019118775157771342,0.0003183707757296477,57175,-0.41803075396825395,281450.8792827023,2,0.9989182293741451,420,False,10,38,119
cfg_143,2026,35,csma,4,55.0,0.35,False,0.9416943749999973,0.016408943458222545,0.00025832672072594737,24887,0.38276289682539677,648090.6601062609,2,0.9989182293741451,222,False,108,8,39
cfg_144,2026,35,csma,4,55.0,0.35,True,0.9416943749999973,0.017417775157771345,0.00031441636424941213,30221,0.2504712301587302,532475.895006403,2,0.9989182293741451,222,False,34,22,71
cfg_145,2027,20,aloha,0,25.0,0.0,False,0.664447576209997,0.030429714285714286,0.00018320181208927785,46080,0.0,684586.4002804066,4,0.9998830703536867,240,False,24,6,184
cfg_146,2027,20,aloha,0,25.0,0.0,True,0.664447576209997,0.032445714285714286,0.00023080827666610516,57600,-0.25,543383.7593462007,4,0.9998830703536867,240,False,14,48,228
cfg_147,2027,20,aloha,0,25.0,0.35,False,0.6798509878233966,0.026541714285714287,0.00017905100114618208,24384,0.4708333333333333,1293706.5832070676,4,0.9998830703536867,127,True,38,0,22
cfg_148,2027,20,aloha,0,25.0,0.35,True,0.6798509878233966,0.028557714285714287,0.00022557884410964185,30480,0.33854166666666663,1026866.9467959699,4,0.9998830703536867,127,False,22,20,170
cfg_149,2027,20,aloha,0,40.0,0.0,False,0.7506719300643595,0.022822285714285715,0.00024131979996170735,34560,0.0,460018.84237178357,3,0.9995594479432075,240,False,38,12,124
cfg_150,2027,20,aloha,0,40.0,0.0,True,0.7506719300643595,0.024334285714285715,0.0003028486758263478,43200,-0.25,366558.16544969357,3,0.9995594479432075,240,False,14,80,192
cfg_151,2027,20,aloha,0,40.0,0.35,False,0.7680742190325296,0.019906285714285717,0.0002358522073923794,18288,0.4708333333333333,869326.9462143941,3,0.9995594479432075,127,False,58,2,82
cfg_152,2027,20,aloha,0,40.0,0.35,True,0.7680742190325296,0.021418285714285716,0.0002959870210021613,22860,0.33854166666666663,692708.3441569012,3,0.9995594479432075,127,False,22,30,132
cfg_153,2027,20,aloha,0,55.0,0.0,False,0.8367581260127124,0.015214857142857143,0.0002489608329143793,23040,0.0,400025.6016385048,2,0.9989182293741451,240,False,90,6,52
cfg_154,2027,20,aloha,0,55.0,0.0,True,0.8367581260127124,0.016222857142857143,0.0003119180942331653,28800,-0.25,319284.8020434227,2,0.9989182293741451,240,False,30,34,96
cfg_155,2027,20,aloha,0,55.0,0.35,False,0.8561560895200053,0.013270857142857143,0.0002433201171491899,12192,0.4708333333333333,755953.8928601666,2,0.9989182293741451,127,True,130,0,8
cfg_156,2027,20,aloha,0,55.0,0.35,True,0.8561560895200053,0.014278857142857143,0.00030485095322551156,15240,0.33854166666666663,603372.854255287,2,0.9989182293741451,127,False,54,12,62
cfg_157,2027,20,aloha,2,25.0,0.0,False,0.6647584415541906,0.030434174534147356,0.00021365536630309226,53765,-0.16677517361111116,586733.7733641055,4,0.9998830703536867,240,False,18,24,208
cfg_158,2027,20,aloha,2,25.0,0.0,True,0.6647584415541906,0.03245035415908512,0.0002614884244171419,65287,-0.416818576388889,479404.8514764219,4,0.9998830703536867,240,False,4,92,252
cfg_159,2027,20,aloha,2,25.0,0.35,False,0.6801690597359101,0.02654617453414736,0.00020881716735703806,28451,0.38257378472222225,1108774.430597207,4,0.9998830703536867,127,True,34,0,24
cfg_160,2027,20,aloha,2,25.0,0.35,True,0.6801690597359101,0.02856235415908512,0.0002555660589026858,34548,0.25026041666666665,905954.1663291986,4,0.9998830703536867,127,False,12,40,194
cfg_161,2027,20,aloha,2,40.0,0.0,False,0.7516649348721217,0.022834889921875254,0.00028127243295707097,40335,-0.16710069444444442,394155.22975998116,3,0.9995594479432075,240,False,22,54,158
cfg_162,2027,20,aloha,2,40.0,0.0,True,0.7516649348721217,0.024347397661431878,0.000342908090482963,48979,-0.41721643518518525,323308.2085674832,3,0.9995594479432075,240,False,4,112,222
cfg_163,2027,20,aloha,2,40.0,0.35,False,0.769090243958561,0.019918889921875252,0.00027490043691918135,21344,0.3824074074074074,744858.095594492,3,0.9995594479432075,127,False,40,14,106
cfg_164,2027,20,aloha,2,40.0,0.35,True,0.769090243958561,0.02143139766143188,0.0003351381074504768,25918,0.2500578703703704,610977.4190688619,3,0.9995594479432075,127,False,14,46,166
cfg_165,2027,20,aloha,2,55.0,0.0,False,0.8385714264483034,0.015235492267172902,0.00029009579147837045,26905,-0.16775173611111116,342560.48547672003,2,0.9989182293741451,240,False,48,20,78
cfg_166,2027,20,aloha,2,55.0,0.0,True,0.8385714264483034,0.016244323965748424,0.00035307777985475275,32671,-0.4180121527777778,281454.5712971924,2,0.9989182293741451,240,False,12,40,128
cfg_167,2027,20,aloha,2,55.0,0.35,False,0.8580114263990846,0.013291492267172902,0.0002835185156043646,14237,0.38207465277777775,647368.8179919331,2,0.9989182293741451,127,True,82,0,12
cfg_168,2027,20,aloha,2,55.0,0.35,True,0.8580114263990846,0.014300323965748422,0.0003450899750542057,17289,0.24960937500000002,531864.3240702512,2,0.9989182293741451,127,False,20,10,88
cfg_169,2027,20,aloha,4,25.0,0.0,False,0.6647584415584417,0.030437916282839206,0.00021365536630172597,53765,-0.16677517361111116,586733.7733641055,4,0.9998830703536867,240,False,20,24,210
cfg_170,2027,20,aloha,4,25.0,0.0,True,0.6647584415584417,0.03245409590777942,0.0002614884244154697,65287,-0.416818576388889,479404.8514764219,4,0.9998830703536867,240,False,4,90,254
cfg_171,2027,20,aloha,4,25.0,0.35,False,0.6801690597402598,0.026549916282839207,0.00020881716735570268,28451,0.38257378472222225,1108774.430597207,4,0.9998830703536867,127,True,36,0,26
cfg_172,2027,20,aloha,4,25.0,0.35,True,0.6801690597402598,0.028566095907779428,0.00025556605890105145,34548,0.25026041666666665,905954.1663291986,4,0.9998830703536867,127,False,12,38,196
cfg_173,2027,20,aloha,4,40.0,0.0,False,0.7516649350649351,0.02284546317163245,0.00028127243288492035,40335,-0.16710069444444442,394155.22975998116,3,0.9995594479432075,240,False,24,54,160
cfg_174,2027,20,aloha,4,40.0,0.0,True,0.7516649350649351,0.02435797091128763,0.0003429080903950019,48979,-0.41721643518518525,323308.2085674832,3,0.9995594479432075,240,False,4,110,224
cfg_175,2027,20,aloha,4,40.0,0.35,False,0.7690902441558443,0.019929463171632453,0.0002749004368486653,21344,0.3824074074074074,744858.095594492,3,0.9995594479432075,127,False,42,14,108
cfg_176,2027,20,aloha,4,40.0,0.35,True,0.7690902441558443,0.02144197091128763,0.00033513810736450885,25918,0.2500578703703704,610977.4190688619,3,0.9995594479432075,127,False,14,44,168
